date,open,close,high,low,volume,code,returnRate,return
2015-06-29,7.447999999999999,8.125,8.125,7.447999999999999,148.0,2769,,
2015-06-30,8.937000000000003,8.937000000000003,8.937000000000003,8.937000000000003,126.0,2769,0.0999384615384619,0.0999384615384619
2015-07-01,9.83,9.83,9.83,9.83,44.0,2769,0.09992167393980048,0.09992167393980048
2015-07-02,10.812000000000001,10.812000000000001,10.812000000000001,10.812000000000001,164.0,2769,0.09989827060020356,0.09989827060020356
2015-07-03,11.892999999999999,11.892999999999999,11.892999999999999,11.892999999999999,1799.0,2769,0.09998150203477596,0.09998150203477596
2015-07-06,13.084000000000001,13.084000000000001,13.084000000000001,13.084000000000001,2383.0,2769,0.10014294122593144,0.10014294122593144
2015-07-07,14.392999999999999,14.392999999999999,14.392999999999999,13.565,126861.0,2769,0.10004585753592153,0.10004585753592153
2015-07-08,12.953,12.953,14.277999999999999,12.953,55967.0,2769,-0.1000486347530049,-0.1000486347530049
2015-07-09,13.466,14.248,14.248,13.466,36607.0,2769,0.09997683934223732,0.09997683934223732
2015-07-10,15.674000000000001,15.674000000000001,15.674000000000001,15.674000000000001,470.0,2769,0.10008422234699621,0.1000842223469962
2015-07-13,17.242,17.242,17.242,17.242,166.0,2769,0.10003827995406402,0.10003827995406404
2015-07-14,18.967,18.967,18.967,18.967,453.0,2769,0.10004639832966,0.10004639832966
2015-07-15,20.864,17.604,20.864,17.426,106394.0,2769,-0.07186165445247006,-0.07186165445247006
2015-07-16,16.141,17.69,18.625999999999998,15.898,65798.0,2769,0.004885253351511138,0.004885253351511138
2015-07-17,18.149,19.458,19.458,17.69,24391.0,2769,0.0999434708875069,0.0999434708875069
2015-07-20,20.000999999999998,20.22,20.983,19.407,52161.0,2769,0.03916127042861551,0.03916127042861551
2015-07-21,19.165,21.066,21.980999999999998,19.149,45210.0,2769,0.04183976261127597,0.04183976261127597
2015-07-22,20.609,20.991,21.971,20.04,37281.0,2769,-0.0035602392480774373,-0.003560239248077437
2015-07-23,20.991,23.09,23.09,20.963,25281.0,2769,0.09999523605354677,0.09999523605354677
2015-07-24,25.399,25.399,25.399,25.054000000000002,41667.0,2769,0.10000000000000005,0.10000000000000003
2015-07-27,24.026,23.541,27.281999999999996,22.976999999999997,64150.0,2769,-0.07315248631835901,-0.07315248631835901
2015-07-28,23.213,25.896,25.896,22.086,41357.0,2769,0.10003823117114823,0.10003823117114824
2015-07-29,27.05,26.575,28.009,23.305999999999997,74440.0,2769,0.026220265678096943,0.026220265678096943
2015-07-30,25.535,24.851999999999997,27.724,24.851999999999997,58804.0,2769,-0.06483537158984017,-0.06483537158984018
2015-07-31,23.785,24.183000000000003,25.803,23.201,43263.0,2769,-0.0269193626267501,-0.0269193626267501
2015-08-03,23.371,21.767,23.763,21.765,42363.0,2769,-0.09990489186618715,-0.09990489186618716
2015-08-04,22.179000000000002,22.749000000000002,22.84800000000001,20.69,38191.0,2769,0.04511416364221082,0.04511416364221082
